value,label
50162140170005,Prospect High School
60160840022004,Dan H Pietrini Elem School
50162140170006,Wheeling High School
60160840022005,Passow Elementary School
50162140170007,Rolling Meadows High School
60160845022001,Rhodes Elem School
50162140170008,Buffalo Grove High School
60160855022001,River Grove Elem School
50162190170002,Niles North High School
60160860022001,Union Ridge Elem School
50162190170003,Niles West High School
60160870021005,MacArthur Middle School
50162250170001,Glenbrook North High School
60160870021006,Northlake Middle School
50162250170002,Glenbrook South High School
60160780022001,Rosemont Elem School
60160870022003,Jefferson Elementary School
60160870022007,J W Riley Elem School
60160870022008,Sunnyside Elementary School
60160870022010,Whittier Elementary School
60160880021007,Roosevelt Middle School
60160880022001,Grant Elem School
60160880022003,Lincoln Elementary School
60160880022005,McKinley Elem School
60160880022006,Thurgood Marshall Elem School
60160880022009,Grant Primary
60160890021001,Irving Middle School
60160890021002,Stevenson Middle School
60160890022001,Jane Addams Elem School
60160890022002,Emerson Elem School
60160890022003,Garfield Elem School
60160890022006,Lincoln Elem School
60160890022007,Melrose Park Elem School
60160890022008,Roosevelt Elem School
60160890022012,Washington Dual Language Academy
60160900021002,Roosevelt School
60160900022001,Lincoln Elem School
60160900022005,Willard Elem School
60160910021001,Forest Park Middle School
60160910022001,Betsy Ross Elem School
60160910022003,Field Stevenson Elem School
60160910022004,Garfield Elem School
60160910022005,Grant-White Elem School
60160920022001,Lindop Elem School
60160925021001,Westchester Middle School
60160925022002,Westchester Intermediate School
60160925022003,Westchester Primary School
60160930022001,Hillside Elem School
60160940022001,Komarek Elem School
60160950021001,S E Gross  Middle School
60160950022002,Brook Park Elem School
60160960021004,L J Hauser Jr High School
60160960022001,A F Ames Elem School
60160960022002,Blythe Park Elem School
60160960022003,Central Elem School
60160960022005,Hollywood Elem School
60160970021003,Gwendolyn Brooks Middle School
60160970021004,Percy Julian Middle School
60160970022001,William Beye Elem School
60160970022003,William Hatch Elem School
60160970022005,Oliver W Holmes Elem School
60160970022006,Irving Elem School
60160970022007,Abraham Lincoln Elem School
60160970022008,Longfellow Elem School
60160970022009,Horace Mann Elem School
60160970022010,Whittier Elem School
60160980021004,Lincoln Middle School
60160980022001,Prairie Oak School
60160980022002,Karel Havlicek Elem School
60160980022003,Jefferson Elem School
60160990021002,Unity Jr High School
60160990022001,Daniel Burnham Elem School
60160990022002,Cicero East Elem School
60160990022003,Columbus  East Elem School
60160990022004,Drexel Elem School
60160990022005,Goodwin Elementary School
60160990022006,Abe Lincoln Elem School
60160990022007,McKinley Elem School
60160990022008,T Roosevelt Elem School
60160990022009,Sherlock Elem School
60160990022010,Woodrow Wilson Elem School
60160990022011,Woodbine Elem School
60160990022012,Warren Park School
60160990022013,Liberty Elem School
60160990022014,Cicero West Elementary School
60160990022015,Columbus West Elementary School
60161000021002,Heritage Middle School
60161000021003,Freedom Middle School
60161000022001,Emerson Elem School
60161000022003,Irving Elem School
60161000022004,Komensky Elem School
60161000022006,Pershing Elem School
60161000022007,Piper School
60161000022008,Hiawatha Elem School
60161010021006,McClure Jr High School
60161010022001,Field Park Elem School
60161010022002,Forest Hills Elem School
60161010022005,John Laidlaw Elem School
60161020021004,Park Junior High School
60161020022001,Congress Park Elem School
60161020022002,Cossitt Ave Elem School
60161020022003,Forest Road Elem School
60161020022007,Ogden Ave Elem School
60161020022008,Barnsdale Road School
60161030022002,Edison Elem School
60161030022004,Home Elem School
60161030022005,Lincoln Elem School
60161030022006,J W Robinson Jr Elem School
60161030022007,Washington Middle School
60161030022008,Costello School
60161050021001,Wm F Gurrie Middle School
60161050022002,Hodgkins Elem School
60161050022003,Ideal Elem School
60161050022004,Seventh Ave Elem School
60161050022005,Spring Ave Elem School
60161060021003,Highlands Middle School
60161060022001,Highlands Elem School
60161070021001,Pleasantdale Middle Sch
60161070022002,Pleasantdale Elementary School
60162000130001,Oak Park & River Forest High Sch
60162010170001,J Sterling Morton East High Sch
70161040021001,Heritage Middle School
60162010170002,J Sterling Morton West High Sch
60162010170003,J Sterling Morton Freshman Cntr
60162040170001,Lyons Twp High Sch
70161040022001,Dr Donald Wharton Elem School
60162080170001,Riverside Brookfield Twp HS
70161040022003,Otis P Graves Elem School
60162090170001,Proviso East High School
70161040022004,W W Walker Elem School
60162090170002,Proviso West High School
70161040022005,Walsh Elem School
60162090170003,Proviso Math and Science Academy
70161080022001,Willow Springs Elem School
60162120160001,East Leyden High School
70161090021006,Geo T Wilkins Jr High School
60162120160002,West Leyden High School
70161090022001,Bridgeview Elem School
60162340160001,Ridgewood Comm High School
60164010262003,Elmwood Elem School
60164010260001,Elmwood Park High School
60164010261001,Elm Middle School
60164010262004,John Mills Elem School
60164010262005,Early Childhood Center
70161090022002,Frank A Brodnicki Elem School
70161090022004,Robina Lyle Elementary School
70161090022006,George T Wilkins Elem School
70161100022002,Charles J Sahs Elem School
70161110021001,Liberty Junior High School
70161110022001,Luther Burbank Elem School
70161110022002,Richard Byrd Elementary School
70161110022005,J B Kennedy Elem School
70161110022006,Maddock Elementary School
70161110022007,F B Mccord Elem School
70161110022010,Edward J Tobin Elem School
70161110022011,Harry E Fry School
07016113A021002,Old Quarry Middle Sch
07016113A022002,Oakwood School
07016113A022004,River Valley School
70161170021001,H H Conrady Jr High School
70161170022002,Dorn Primary Center
70161170022003,Glen Oaks Elem School
70161170022004,Oak Ridge Elem School
70161170022005,Dr Kenneth M Sorrick School
70161180041004,Palos South Middle School
70161180042002,Palos East Elementary School
70161180042003,Palos West Elementary School
70161220021005,Simmons Middle School
70161220022001,Columbus Manor Elem School
70161220022002,Ernest F Kolb Elem School
70161220022003,Harnew Elem School
70161220022004,George W Lieb Elem School
70161230021001,Oak Lawn-Hometown Middle Sch
70161230022003,J Covington Elem School
70161230022006,J M Hannum Elem School
70161230022007,Hometown Elem School
70161230022008,Kolmar Avenue Elem School
70161230022010,Sward Elem School
70161240021001,Central Middle School
70161240022002,Northeast Elem School
70161240022003,Northwest School
70161240022004,Southeast Elem School
70161240022005,Southwest Elem School
70161250021001,Hamlin Upper Grade Center
70161250022003,Lawn Manor School
70161250022004,Meadow Lane School
70161260021005,Prairie Jr High School
70161260022001,Hazelgreen Elem School
70161260022002,Lane Elem School
70161260022004,Stony Creek Elem School
70161270021005,Worth Jr High School
70161270022001,Worth Elem School
70161270022004,Worthwoods Elem School
70161275021001,Elden D Finley Jr High School
70161275022003,Ridge Central Elem School
70161275022004,Ridge Lawn Elementary School
70161280021003,Independence Jr High School
70161280022002,Chippewa Elem School
70161280022005,Navajo Heights Elem School
70161280022006,Indian Hill
70161300021001,Everett F Kerr Middle School
70161300021002,Nathan Hale Middle School
70161300021003,Veterans Memorial Middle Sch
70161300022004,Nathan Hale Intermediate
70161300022008,Paul Revere Intermediate School
70161300022010,Whittier Elementary School
70161300022011,Lincoln Elem School
70161300022012,Nathan Hale Primary School
70161300022018,Paul Revere Primary School
70161300022019,George Washington Elementary Sch
70161320022001,Burr Oak Elem School
70161320022002,Calumet Elem School
70161320022003,Burr Oak Academy
70161330022001,Gen George Patton Elem School
70161350021004,Orland Jr High School
70161350021005,Jerling Junior High School
70161350021006,Century Junior High School
70161350022001,High Point Elem School
70161350022002,Orland Park Elem School
70161350022007,Prairie Elem School
70161350022008,Liberty Elem School
70161350022010,Orland Center School
70161350022012,Centennial School
70161350022013,Meadow Ridge School
70161400021003,Virgil I Grissom Middle School
70161400021004,Prairie View Middle School
70161400022001,Fernway Park Elem School
70161400022004,Helen Keller Elem School
70161400022005,John A Bannes Elem School
70161400022006,Christa McAuliffe School
70161400022007,Millennium Elem School
70161420021001,Jack Hille Middle School
70161420022002,Ridge Early Childhood Center
70161420022003,Lee R Foster Elem School
70161420022004,Kerkstra Elem School
70161430022001,Central Park Elem School
70161430022002,Kolmar Elem School
70161430022004,Springfield Elem School
70161430022005,Spaulding School
70161435021003,Kellar School
70161435022001,Childs Elem School
70161435022006,Posen Elem School
70161435022007,Turner Elem School
70161435022010,Gordon School
70161440021002,Prairie-Hills Junior High School
70161440022003,Fieldcrest Elem School
70161440022004,Highlands Elem School
70161440022005,Markham Park Elem School
70161440022007,Nob Hill Elem School
70161440022009,Chateaux School
70161440022010,Mae Jemison School
70161450021001,Arbor Park Middle School
70161450022002,Kimberly Heights Elem School
70161450022003,Scarlet Oak Elem School
70161450022004,Morton Gingerwood Elem School
70161460041001,Central Middle School
70161460042002,Bert H Fulton School
70161460042003,Memorial Elem School
70161460042005,Walter F Fierke Ed Center
70161460042006,Arnold W Kruse Ed Center
70161470021001,Rosa L Parks Middle School
70161470022004,Lincoln Elem School
70161470022006,Washington Elem School
70161470022007,Martin L King Elem School
70161480021002,Roosevelt Junior High School
70161480021003,Lincoln Junior High School
70161480021004,Washington Junior High
70161480022002,Riverdale School
70161480022003,Lincoln Elementary School
70161480022005,Roosevelt Elem School
70161480022006,Washington Elem School
70161480022007,Franklin Elementary School
70161480022010,Park Elementary School
70161490021004,S T E M Academy
70161490021005,Creative Communications Acad
70161490021006,School of Fine Arts
70161490022002,Diekman Elem School
70161490022005,Caroline Sibley Elem School
70161490022006,Berger-Vandenberg Elem School
70161490022009,Carol Moseley Braun School
70161490022010,New Beginnings Learning Academy
70161500021005,McKinley Jr High School
70161500022001,Greenwood Elem School
70161500022002,McKinley Elem School
70161510021001,Coolidge Middle School
70161510022002,Eisenhower School
70161510022004,Madison School
70161510022006,Taft School
70161520021001,Brooks Middle School
70161520022001,Bryant Elem School
70161520022002,Maya Angelou Elem Sch
70161520022004,Holmes Elem School
70161520022005,Lowell-Longfellow Elem School
70161520022007,Sandburg Elem School
70161520022008,Whittier Elem School
70161525022001,Barack H Obama Learning Academy
70161525022005,Jesse C White Learning Academy
70161530021003,James Hart School
70161530022002,Winston Churchill School
70161530022005,Willow School
70161540022002,Wolcott School
70161545022001,Burnham Elem School
70161550021001,Wentworth Jr High School
70161550022002,Wilson Elementary School
70161550022004,Wentworth Intermediate School
