schl_name,dist_name,school_rank_composite,school_rank_ela,school_rank_math,gr11_schl_ttl_scale_score_sat_2017_composite,gr11_schl_avg_scale_score_in_ela_sat_2017_ela,gr11_schl_avg_scale_score_in_math_sat_2017_math,gr11_dist_ttl_scale_score_sat_2017_composite,gr11_dist_avg_scale_score_in_ela_sat_2017_ela,gr11_dist_avg_scale_score_in_math_sat_2017_math,district_rank_composite,district_rank_ela,district_rank_math
Rich East Campus High School,Rich Twp HSD 227,592,578,604,889.6,457,432.7,896.8,459.9,436.9,684,667,688
Simeon Career Academy High School,City of Chicago SD 299,593,567,610,889.4,459.5,429.9,956.1,483.7,472.5,406,406,393
Meredosia-Chambersburg High Sch,Meredosia-Chambersburg CUSD 11,594,604,582,887.1,447.1,440,887.1,447.1,440,690,694,681
Odin Attendance Center 9-12,Odin PSD 722,595,610,579,886.2,445.4,440.8,886.2,445.4,440.8,691,696,679
CICS - Ralph Ellison Campus,City of Chicago SD 299,596,555,623,885.2,461.4,423.7,956.1,483.7,472.5,406,406,393
Juarez Community Academy HS,City of Chicago SD 299,597,607,590,885,446.5,438.5,956.1,483.7,472.5,406,406,393
Eldorado High School,Eldorado CUSD 4,598,586,611,883.6,453.8,429.7,883.6,453.8,429.7,692,684,699
Hillcrest High School,Bremen CHSD 228,599,597,603,883.5,450.5,433,945.2,478.4,466.8,592,596,586
Thornton Fractnl No High School,Thornton Fractional Twp HSD 215,600,605,597,882.8,447,435.8,905,458.5,446.5,671,672,666
IHSCA Charter High School,City of Chicago SD 299,600,626,578,882.8,441.6,441.2,956.1,483.7,472.5,406,406,393
Coulterville High School,Coulterville USD 1,602,611,592,882.7,445.3,437.3,882.7,445.3,437.3,693,697,686
Kankakee High School,Kankakee SD 111,603,614,591,882.4,444.7,437.6,875.7,441.6,434.1,698,700,693
Ramsey High School,Ramsey CUSD 204,604,579,621,882.1,456.7,425.4,882.1,456.7,425.4,694,680,704
Steinmetz College Prep HS,City of Chicago SD 299,605,608,597,881.4,445.6,435.8,956.1,483.7,472.5,406,406,393
Perspectives Chtr - Leadership Ac,City of Chicago SD 299,606,595,617,879,451.4,427.6,956.1,483.7,472.5,406,406,393
Meridian High School,Meridian CUSD 101,606,618,596,879,443.1,435.9,879,443.1,435.9,697,698,692
Perspectives Chtr - Joslin Campus,City of Chicago SD 299,608,573,633,878.4,457.9,420.5,956.1,483.7,472.5,406,406,393
