schl_name,dist_name,school_rank_composite,school_rank_ela,school_rank_math,gr11_schl_ttl_scale_score_sat_2017_composite,gr11_schl_avg_scale_score_in_ela_sat_2017_ela,gr11_schl_avg_scale_score_in_math_sat_2017_math,gr11_dist_ttl_scale_score_sat_2017_composite,gr11_dist_avg_scale_score_in_ela_sat_2017_ela,gr11_dist_avg_scale_score_in_math_sat_2017_math,district_rank_composite,district_rank_ela,district_rank_math
Hononegah High School,Hononegah CHD 207,50,46,52,1109.9,557.9,552.1,1109.9,557.9,552.1,31,34,43
Lincoln-Way Central High School,Lincoln Way CHSD 210,51,45,55,1108.2,559,549.3,1106.8,560.1,546.7,32,30,58
Huntley High School,Huntley Comm Sch Dist 158,52,55,53,1105.1,553.4,551.6,1104.2,552.8,551.3,43,39,45
Crystal Lake South High School,CHSD 155,53,59,50,1105,551.8,553.2,1101.1,550,551.1,47,47,46
Lincoln Park High School,City of Chicago SD 299,54,51,58,1103.6,555,548.6,956.1,483.7,472.5,406,406,393
Richmond-Burton High School,Richmond-Burton CHSD 157,55,60,49,1103.4,548.9,554.5,1103.4,548.9,554.5,44,51,36
Metamora High School,County of Woodford School,56,68,44,1103,545.5,557.5,1099.1,543.7,555.4,51,63,35
St Charles East High School,St Charles CUSD 303,57,56,64,1099.2,552.8,546.4,1121.5,560.5,561,27,28,26
St Joseph-Ogden High School,St Joseph Ogden CHSD 305,58,81,47,1097.7,541.5,556.2,1097.7,541.5,556.2,52,74,33
Wheaton Warrenville South H S,CUSD 200,59,57,69,1096.4,552.5,543.8,1105.7,554.6,551.1,35,35,46
Monticello High School,Monticello CUSD 25,60,52,75,1095.9,554.3,541.6,1095.9,554.3,541.6,53,37,69
Edwardsville High School,Edwardsville CUSD 7,61,64,62,1095.3,547.6,547.7,1087.9,543.8,544.1,65,62,62
Maroa-Forsyth Senior High Sch,Maroa Forsyth CUSD 2,62,53,79,1093.5,554.1,539.4,1093.5,554.1,539.4,54,38,73
Lake Park High School,Lake Park CHSD 108,63,69,61,1093,545.2,547.8,1092.8,545.1,547.6,60,59,57
Niles West High School,Niles Twp HSD 219,64,62,67,1092.3,547.8,544.5,1087.1,545.3,541.8,66,55,67
Central High School,Central CUSD 301,64,85,54,1092.3,540.9,551.4,1092.3,540.9,551.4,61,77,44
Glenbard South High School,Glenbard Twp HSD 87,66,65,68,1091.6,547.2,544.4,1063.9,532,531.9,93,102,90
Plainfield North High School,Plainfield SD 202,67,78,59,1090.9,542.4,548.5,1036.4,517.7,518.7,148,174,135
Williamsville High School,Williamsville CUSD 15,68,74,65,1089.2,543.2,546,1088,542.8,545.2,64,66,61
Niles North High School,Niles Twp HSD 219,69,67,75,1087.4,545.8,541.6,1087.1,545.3,541.8,66,55,67
Carterville High School,Carterville CUSD 5,70,58,92,1086.7,552.4,534.3,1086.7,552.4,534.3,68,40,84
Hinsdale South High School,Hinsdale Twp HSD 86,71,74,71,1086,543.2,542.8,1171.1,585.9,585.2,10,10,10
Lincoln Way West,Lincoln Way CHSD 210,72,63,81,1085.4,547.7,537.7,1106.8,560.1,546.7,32,30,58
Harry D Jacobs High School,CUSD 300,73,66,80,1084.8,546.1,538.7,1028,518.1,509.9,165,165,178
Waterloo High School,Waterloo CUSD 5,74,80,73,1084,541.9,542.1,1084,541.9,542.1,69,73,65
Schaumburg High School,Township HSD 211,75,99,66,1083.6,537.7,545.9,1093,542.2,550.8,55,67,52
Washington Comm High School,Washington CHSD 308,76,70,83,1081.9,545,536.9,1081.9,545,536.9,70,60,74
Comm H S Dist 99 - South High Sch,CHSD 99,77,109,62,1081.3,533.7,547.7,1102.9,545.2,557.7,45,57,30
Lakes Community High School,CHSD 117,78,72,82,1081.2,543.8,537.4,1072.2,539.9,532.3,79,81,88
Normal Community High School,McLean County USD 5,79,94,78,1078.5,538.5,540.1,1052.6,528.4,524.2,113,116,114
Riverside Brookfield Twp HS,Riverside-Brookfield Twp SD 208,80,61,105,1078,548.8,529.3,1078,548.8,529.3,71,52,98
Tri-Valley High School,Tri Valley CUSD 3,81,83,86,1076.3,541.2,535.1,1076.3,541.2,535.1,72,75,79
O Fallon High School,O Fallon Twp HSD 203,82,73,97,1076.2,543.4,532.8,1076.2,543.4,532.8,73,64,87
Lexington High School,Lexington CUSD 7,83,93,84,1075.1,538.8,536.3,1075.1,538.8,536.3,74,85,75
Morris Community High School,Morris CHSD 101,84,77,100,1075,542.9,532.1,1072.7,542.1,530.6,78,72,96
Rolling Meadows High School,Township HSD 214,85,79,99,1074.7,542.2,532.5,1104.8,552,552.8,37,41,37
DePue High School,DePue USD 103,86,89,95,1073.8,540,533.8,1073.8,540,533.8,75,80,86
